player_id,card_minutes,yellow_cards,red_cards,behavior_cards,foul_cards,right_wing,right_center_forward,right_midfield,right_center_midfield,right_wing_back,right_back,center_defensive_midfield,right_defensive_midfield,right_center_back,left_back,left_center_back,center_back,left_center_midfield,left_defensive_midfield,center_forward,center_attacking_midfield,left_wing,left_wing_back,left_midfield,left_center_forward,goalkeeper,left_attacking_midfield,right_attacking_midfield,center_midfield,secondary_striker
52149,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4637,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0
4643,"[62, 78, 76, 76, 21, 62, 70, 91]",7,0,0,8,2,2,5,10,0,7,0,2,0,2,0,0,8,0,12,8,15,0,2,6,0,1,0,0,0
4651,[],0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4992,"[78, 92]",2,0,1,1,15,1,4,2,1,11,0,0,0,1,0,0,2,0,11,4,6,1,3,3,0,0,0,0,0
10099,"[11, 80]",2,0,0,2,11,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,0,0,1,0,0
10172,"[58, 87, 41]",3,0,0,3,0,0,11,33,0,0,5,12,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
10180,[36],1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,38,1,1,0,1,5,0,0,0,0,0
10185,[52],1,0,0,1,0,0,0,0,0,0,0,0,61,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10188,"[33, 71, 85]",3,0,1,2,0,0,1,2,0,0,2,2,0,1,0,0,29,11,0,0,4,0,7,0,0,0,0,1,0
15554,"[80, 67, 68, 40, 74]",5,0,0,5,1,0,0,0,0,14,0,0,3,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15555,"[77, 45, 54]",3,0,0,3,2,2,2,1,0,0,0,0,0,1,0,0,0,0,3,0,20,0,13,6,0,0,0,0,0
19498,[],0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,6,0,1,0,0,0,0,0,0
